dataset,avg_annotators,relative_majority,absolute_majority,qualified_majority,unanimity,avg_penetration,avg_isolation
hate speech,5.523125996810207,0.631578947368421,0.03827751196172249,0.31100478468899523,0.019138755980861243,0.5776714513556619,0.3495849516836279
acceptability,5.699617956064947,0.3428844317096466,0.20582617000955108,0.33715377268385865,0.11413562559694365,0.505062082139446,0.3253437505334166
violence,5.856248153618907,0.3539556528880372,0.0029770052012044893,0.2800780180673419,0.36298932384341637,0.3505201204489461,0.26052563151696395
offensiveness,32.32411067193676,0.5990338164251208,0.21651295564339043,0.17896354852876592,0.005489679402722881,0.916381203337725,0.471787641940567
